n,k,seed,train_size,model,test_acc,n_test
128,3,2,10000,MLP,0.50925,20000
128,3,2,20000,LR,0.52495,20000
128,3,2,20000,MLP,0.5148,20000
128,3,2,50000,LR,0.5306,20000
128,3,2,50000,MLP,0.962,20000
128,3,2,100000,LR,0.5368,20000
128,3,2,200000,LR,0.54335,20000
128,3,3,1000,LR,0.5096,20000
128,3,3,1000,MLP,0.50055,20000
128,3,3,2000,LR,0.51505,20000
128,3,3,2000,MLP,0.50295,20000
128,3,3,5000,LR,0.5171,20000
128,3,3,5000,MLP,0.517,20000
128,3,3,10000,LR,0.52205,20000
128,3,3,10000,MLP,0.5158,20000
128,3,3,20000,LR,0.5247,20000
128,3,3,20000,MLP,0.5236,20000
128,3,3,50000,LR,0.5327,20000
128,3,3,50000,MLP,0.9615,20000
128,3,3,100000,LR,0.5372,20000
128,3,3,200000,LR,0.5374,20000
128,4,0,1000,LR,0.4989,20000
128,4,0,1000,MLP,0.4993,20000
128,4,0,2000,LR,0.49675,20000
128,4,0,2000,MLP,0.5015,20000
128,4,0,5000,LR,0.49765,20000
128,4,0,5000,MLP,0.49415,20000
128,4,0,10000,LR,0.4993,20000
128,4,0,10000,MLP,0.49795,20000
128,4,0,20000,LR,0.50445,20000
128,4,0,20000,MLP,0.50395,20000
128,4,0,50000,LR,0.5073,20000
128,4,0,50000,MLP,0.50595,20000
128,4,0,100000,LR,0.50465,20000
128,4,0,200000,LR,0.5066,20000
128,4,1,1000,LR,0.50435,20000
128,4,1,1000,MLP,0.50295,20000
128,4,1,2000,LR,0.5024,20000
128,4,1,2000,MLP,0.5008,20000
128,4,1,5000,LR,0.49955,20000
128,4,1,5000,MLP,0.5018,20000
128,4,1,10000,LR,0.4984,20000
128,4,1,10000,MLP,0.51045,20000
128,4,1,20000,LR,0.50285,20000
128,4,1,20000,MLP,0.5028,20000
128,4,1,50000,LR,0.50085,20000
128,4,1,50000,MLP,0.5061,20000
128,4,1,100000,LR,0.5006,20000
128,4,1,200000,LR,0.4981,20000
128,4,2,1000,LR,0.50065,20000
128,4,2,1000,MLP,0.49845,20000
128,4,2,2000,LR,0.5008,20000
128,4,2,2000,MLP,0.5004,20000
128,4,2,5000,LR,0.49375,20000
128,4,2,5000,MLP,0.497,20000
128,4,2,10000,LR,0.49725,20000
128,4,2,10000,MLP,0.4982,20000
128,4,2,20000,LR,0.5021,20000
128,4,2,20000,MLP,0.50065,20000
128,4,2,50000,LR,0.4983,20000
128,4,2,50000,MLP,0.5022,20000
128,4,2,100000,LR,0.4995,20000
128,4,2,200000,LR,0.4984,20000
128,4,3,1000,LR,0.4985,20000
128,4,3,1000,MLP,0.49915,20000
128,4,3,2000,LR,0.50055,20000
128,4,3,2000,MLP,0.5072,20000
128,4,3,5000,LR,0.5018,20000
128,4,3,5000,MLP,0.50225,20000
128,4,3,10000,LR,0.5008,20000
128,4,3,10000,MLP,0.501,20000
128,4,3,20000,LR,0.5026,20000
128,4,3,20000,MLP,0.5057,20000
128,4,3,50000,LR,0.50215,20000
128,4,3,50000,MLP,0.50125,20000
128,4,3,100000,LR,0.5038,20000
128,4,3,200000,LR,0.50175,20000
128,5,0,1000,LR,0.4971,20000
128,5,0,1000,MLP,0.50235,20000
128,5,0,2000,LR,0.50415,20000
128,5,0,2000,MLP,0.49885,20000
128,5,0,5000,LR,0.49735,20000
128,5,0,5000,MLP,0.50005,20000
128,5,0,10000,LR,0.49825,20000
128,5,0,10000,MLP,0.4991,20000
128,5,0,20000,LR,0.49925,20000
128,5,0,20000,MLP,0.5031,20000
128,5,0,50000,LR,0.50055,20000
128,5,0,50000,MLP,0.49985,20000
128,5,0,100000,LR,0.504,20000
128,5,0,200000,LR,0.5035,20000
128,5,1,1000,LR,0.5015,20000
128,5,1,1000,MLP,0.50115,20000
128,5,1,2000,LR,0.5062,20000
128,5,1,2000,MLP,0.50165,20000
128,5,1,5000,LR,0.50895,20000
128,5,1,5000,MLP,0.50365,20000
128,5,1,10000,LR,0.5079,20000
128,5,1,10000,MLP,0.50475,20000
128,5,1,20000,LR,0.50855,20000
128,5,1,20000,MLP,0.50435,20000
128,5,1,50000,LR,0.5133,20000
128,5,1,50000,MLP,0.5071,20000
128,5,1,100000,LR,0.50625,20000
128,5,1,200000,LR,0.50565,20000
128,5,2,1000,LR,0.50035,20000
128,5,2,1000,MLP,0.4986,20000
128,5,2,2000,LR,0.50665,20000
128,5,2,2000,MLP,0.50575,20000
128,5,2,5000,LR,0.5032,20000
128,5,2,5000,MLP,0.5034,20000
128,5,2,10000,LR,0.4948,20000
128,5,2,10000,MLP,0.50095,20000
128,5,2,20000,LR,0.5014,20000
128,5,2,20000,MLP,0.49935,20000
128,5,2,50000,LR,0.5009,20000
128,5,2,50000,MLP,0.49395,20000
128,5,2,100000,LR,0.50105,20000
128,5,2,200000,LR,0.49735,20000
128,5,3,1000,LR,0.50405,20000
128,5,3,1000,MLP,0.5045,20000
128,5,3,2000,LR,0.5061,20000
128,5,3,2000,MLP,0.5064,20000
128,5,3,5000,LR,0.5036,20000
128,5,3,5000,MLP,0.4993,20000
128,5,3,10000,LR,0.4977,20000
128,5,3,10000,MLP,0.5058,20000
128,5,3,20000,LR,0.4987,20000
128,5,3,20000,MLP,0.5015,20000
128,5,3,50000,LR,0.50015,20000
128,5,3,50000,MLP,0.50115,20000
128,5,3,100000,LR,0.50195,20000
128,5,3,200000,LR,0.5014,20000
128,6,0,1000,LR,0.4951,20000
128,6,0,1000,MLP,0.49705,20000
128,6,0,2000,LR,0.49515,20000
128,6,0,2000,MLP,0.4905,20000
128,6,0,5000,LR,0.50205,20000
128,6,0,5000,MLP,0.5009,20000
128,6,0,10000,LR,0.50345,20000
128,6,0,10000,MLP,0.49915,20000
128,6,0,20000,LR,0.50415,20000
128,6,0,20000,MLP,0.5033,20000
128,6,0,50000,LR,0.50235,20000
128,6,0,50000,MLP,0.5042,20000
128,6,0,100000,LR,0.50095,20000
128,6,0,200000,LR,0.5035,20000
128,6,1,1000,LR,0.5081,20000
128,6,1,1000,MLP,0.4974,20000
128,6,1,2000,LR,0.49995,20000
128,6,1,2000,MLP,0.49465,20000
